ブラウザ,オペレーティング システム,ユーザー,新規ユーザー,セッション,直帰率,ページ/セッション,平均セッション時間
Chrome,Macintosh,"1,508","1,456","2,424",40.84%,2.77,0:01:55
Chrome,Windows,"1,210","1,186","1,436",52.30%,2.31,0:01:21
Safari,iOS,670,531,824,37.62%,1.96,0:01:00
Internet Explorer,Windows,229,218,268,55.22%,2.19,0:01:44
Firefox,Windows,221,220,252,50.79%,2.09,0:01:16
Chrome,Android,175,164,227,59.47%,2.2,0:01:44
Safari (in-app),iOS,203,186,220,72.73%,1.5,0:00:37
Safari,Macintosh,169,163,197,56.85%,2.29,0:01:22
Firefox,Macintosh,98,92,113,48.67%,2.07,0:01:00
Chrome,iOS,61,54,110,55.45%,2.05,0:01:06
Opera,Windows,24,24,69,98.55%,1.01,0:00:05
YaBrowser,Windows,47,47,54,96.30%,7.48,0:00:40
Edge,Windows,37,35,47,46.81%,2.66,0:02:28
Chrome,Linux,19,18,20,50.00%,2.05,0:00:43
Android Webview,Android,18,18,18,55.56%,2.5,0:00:57
Android Browser,Android,12,11,15,80.00%,1.53,0:00:56
Safari,Linux,15,15,15,93.33%,1.07,0:00:00
Firefox,Linux,13,13,13,76.92%,1.46,0:01:45
Opera,Macintosh,2,2,7,71.43%,1.29,0:04:49
Sogou web spider,(not set),5,5,5,100.00%,1,0:00:00
Mozilla,Linux,3,3,3,100.00%,1,0:00:00
Chrome,Chrome OS,2,2,2,0.00%,4,0:01:38
Firefox,Android,2,2,2,50.00%,1.5,0:00:54
(not set),(not set),1,1,1,100.00%,1,0:00:00
Iron,Macintosh,1,1,1,100.00%,1,0:00:00
Mozilla Compatible Agent,(not set),1,1,1,100.00%,1,0:00:00
Opera,Android,1,1,1,100.00%,1,0:00:00
Safari,Windows,1,1,1,100.00%,1,0:00:00
,,"4,748","4,470","6,346",48.33%,2.41,0:01:30
